Matricula,Periodo de Ingresso,Forma de Ingresso,Curriculo,Estado Civil,Sexo,Idade Aproximada no Ingresso,Cor,Cota,Status,Tipo de Evasao,Periodo de Evasao
120210779,20202,SISU,2017,Solteiro,MASCULINO,28,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2022.2
112110001,20121,TRANSFERENCIA,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,GRADUADO,2019.1
118111079,20181,SISU,2017,Solteiro,MASCULINO,21,Preta,L2,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2019.1
114110493,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2015.2
120210126,20202,SISU,2017,Solteiro,MASCULINO,19,Preta,-,ATIVO,REGULAR,-
114110478,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,L5,INATIVO,GRADUADO,2018.2
112210122,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2017.2
111150279,20111,CONVENIO PEC-G,1999,Solteiro,MASCULINO,25,N? declarada,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2013.1
113210120,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELADO NOVO INGRESSO OUTRO CURSO,2014.1
121110557,20211,SISU,2017,Solteiro,MASCULINO,20,Parda,L6,INATIVO,CANCELAMENTO POR ABANDONO,2022.2
111210391,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,17,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2015.2
119110595,20191,SISU,2017,Solteiro,MASCULINO,20,Parda,L6,INATIVO,CANCELAMENTO POR ABANDONO,2023.1
119110332,20191,SISU,2017,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2022.1
113210150,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
113110064,20131,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,19,Branca,-,INATIVO,GRADUADO,2018.1
120210131,20202,SISU,2017,Solteiro,MASCULINO,22,Branca,-,ATIVO,REGULAR,-
119110405,20191,SISU,2017,Solteiro,MASCULINO,29,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2023.1
111210432,20112,VESTIBULAR  ENEM,1999,Casado,MASCULINO,36,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.1
112210131,20122,VESTIBULAR  ENEM,1999,Casado,MASCULINO,36,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2013.1
119110631,20191,SISU,2017,Casado,MASCULINO,43,Parda,L14,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2019.2
118111402,20181,SISU,2017,Casado,MASCULINO,44,Branca,L13,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2018.2
112210660,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.2
111210400,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2016.2
114111364,20141,VESTIBULAR  ENEM,1999,Casado,MASCULINO,36,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2015.1
119210960,20192,GRADUADO,2017,Solteiro,MASCULINO,27,Amarela,-,INATIVO,GRADUADO,2023.2
111110939,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,GRADUADO,2015.1
113210810,20132,JUDICIAL,1999,Solteiro,MASCULINO,17,Branca,-,INATIVO,GRADUADO,2020.2
120110368,20201,SISU,2017,Solteiro,MASCULINO,18,Branca,-,ATIVO,REGULAR,-
111150283,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2017.1
118210644,20182,SISU,2017,Solteiro,FEMININO,20,Branca,L5,INATIVO,GRADUADO,2023.1
114111357,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2019.1
114110431,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,CANCELADO NOVO INGRESSO OUTRO CURSO,2016.1
120110994,20201,SISU,2017,Solteiro,MASCULINO,38,Parda,L2,INATIVO,CANCELAMENTO POR ABANDONO,2021.1
120110770,20201,SISU,2017,Solteiro,MASCULINO,21,Branca,L5,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2020.1
114111352,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2016.2
111210870,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
111210068,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2012.1
111210405,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,22,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2013.1
112210108,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.1
114110489,20141,VESTIBULAR  ENEM,1999,Casado,MASCULINO,35,Parda,L6,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.2
112190148,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,30,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2014.2
112110944,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.2
112110923,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,29,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.2
113210122,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
113210882,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.1
111210415,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2012.2
111110061,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,28,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2011.2
113210757,20132,VESTIBULAR  ENEM,1999,Casado,MASCULINO,29,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2013.2
119110403,20191,SISU,2017,Solteiro,MASCULINO,20,Branca,-,INATIVO,GRADUADO,2022.2
111210089,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,28,N? declarada,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2011.2
113210428,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,23,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2018.1
118210879,20182,SISU,2017,Solteiro,MASCULINO,24,Branca,L5,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2023.2
112110106,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2013.1
111110894,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,27,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.2
114210806,20142,SISU,1999,Solteiro,MASCULINO,17,Branca,-,INATIVO,GRADUADO,2019.2
113110045,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2017.2
114110480,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2017.1
111210079,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Parda,-,INATIVO,GRADUADO,2016.2
111210413,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.2
119210654,20192,SISU,2017,Solteiro,MASCULINO,18,Branca,-,ATIVO,REGULAR,-
119110316,20191,SISU,2017,Solteiro,MASCULINO,18,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2021.2
113210631,20132,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,20,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2016.1
119210934,20192,TRANSFERENCIA,2017,Solteiro,FEMININO,19,Branca,-,ATIVO,REGULAR,-
118210122,20182,SISU,2017,Solteiro,MASCULINO,17,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2021.2
111210406,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,23,Branca,-,INATIVO,CANCELADO NOVO INGRESSO OUTRO CURSO,2014.1
112110094,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,GRADUADO,2017.2
111210050,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Preta,-,INATIVO,GRADUADO,2018.1
111210794,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2013.1
118210688,20182,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2020.2
112110928,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.1
113210148,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Parda,L1,INATIVO,GRADUADO,2017.2
121110034,20211,SISU,2017,Solteiro,MASCULINO,18,Branca,-,ATIVO,REGULAR,-
113210750,20132,VESTIBULAR  ENEM,1999,Casado,MASCULINO,29,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2015.1
111210666,20112,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,28,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.2
111210423,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.1
119110321,20191,SISU,2017,Solteiro,MASCULINO,19,Parda,-,INATIVO,GRADUADO,2023.2
112150734,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.1
114110450,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Amarela,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
120110629,20201,SISU,2017,Solteiro,MASCULINO,22,Parda,L14,INATIVO,CANCELAMENTO POR ABANDONO,2020.2
118210938,20182,TRANSFERENCIA,2017,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2022.1
113112446,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.2
111110133,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2016.1
111210049,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.2
118210542,20182,SISU,2017,Casado,MASCULINO,34,Parda,L2,INATIVO,CANCELAMENTO POR ABANDONO,2019.2
111110071,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO DE MATRICULA,2018.2
121210587,20212,SISU,2017,Solteiro,MASCULINO,21,Branca,-,ATIVO,REGULAR,-
119110777,20191,SISU,2017,Solteiro,MASCULINO,18,Branca,L5,ATIVO,REGULAR,-
112110084,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,21,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2018.1
111110096,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,28,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.2
112210112,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2018.2
118210056,20182,SISU,2017,Solteiro,MASCULINO,20,Parda,-,INATIVO,GRADUADO,2022.2
112190043,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Preta,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2013.2
112110044,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2017.1
111150551,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Parda,-,INATIVO,GRADUADO,2016.2
111210885,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.2
118210383,20182,SISU,2017,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2020.2
120110045,20201,SISU,2017,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2024.2
118110397,20181,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2024.2
120110414,20201,SISU,2017,Casado,FEMININO,19,Parda,-,ATIVO,REGULAR,-
119210165,20192,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2024.1
111210433,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2012.2
118110388,20181,SISU,2017,Solteiro,FEMININO,18,Branca,-,INATIVO,GRADUADO,2023.1
119110826,20191,SISU,2017,Solteiro,FEMININO,18,Branca,-,INATIVO,GRADUADO,2023.2
113110029,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,17,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2016.2
111210947,20112,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.1
111210663,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,27,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2012.1
114110420,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.2
119110355,20191,SISU,2017,Solteiro,MASCULINO,21,Branca,-,INATIVO,GRADUADO,2022.2
114110429,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,30,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2015.2
111110114,20111,VESTIBULAR  ENEM,1999,Casado,MASCULINO,26,Branca,-,INATIVO,GRADUADO,2015.2
113210604,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,31,Preta,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.1
111210787,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,25,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.2
121110349,20211,SISU,2017,Solteiro,MASCULINO,19,Branca,-,ATIVO,REGULAR,-
112110945,20121,VESTIBULAR  ENEM,1999,Casado,FEMININO,26,Amarela,-,INATIVO,CANCELAMENTO POR ABANDONO,2016.2
112150445,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,27,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2012.2
111150553,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,25,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2011.2
119210170,20192,SISU,2017,Solteiro,FEMININO,19,Branca,-,INATIVO,GRADUADO,2023.2
113210078,20132,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,18,Preta,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2014.1
112150455,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,27,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2017.1
113110906,20131,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.2
120110138,20201,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2023.2
120210170,20202,SISU,2017,Solteiro,FEMININO,22,Branca,-,ATIVO,REGULAR,-
112210054,20122,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,28,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2013.2
119111373,20191,REOPCAO,2017,Solteiro,MASCULINO,25,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2023.2
114111621,20141,REOPCAO,1999,Solteiro,MASCULINO,21,Preta,-,INATIVO,GRADUADO,2018.2
111110124,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,26,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
112210096,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2017.2
120110844,20201,SISU,2017,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2024.1
120210129,20202,SISU,2017,Solteiro,FEMININO,25,Branca,-,ATIVO,REGULAR,-
120210789,20202,SISU,2017,Solteiro,FEMININO,26,Branca,-,INATIVO,GRADUADO,2024.1
121110281,20211,SISU,2017,Solteiro,MASCULINO,19,Branca,-,ATIVO,REGULAR,-
119110143,20191,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2023.2
112210123,20122,VESTIBULAR  ENEM,1999,Casado,MASCULINO,26,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2015.2
118210940,20182,TRANSFERENCIA,2017,Casado,MASCULINO,32,Amarela,-,INATIVO,GRADUADO,2023.1
118210437,20182,SISU,2017,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2020.2
112210951,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,27,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.2
112210090,20122,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,26,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2013.1
114210775,20142,SISU,1999,Solteiro,MASCULINO,21,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2017.1
114210212,20142,SISU,1999,Solteiro,MASCULINO,25,Preta,-,INATIVO,CANCELAMENTO POR ABANDONO,2015.1
120210164,20202,SISU,2017,Solteiro,MASCULINO,22,Branca,-,ATIVO,REGULAR,-
111110064,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2015.2
111210426,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,17,Branca,-,INATIVO,GRADUADO,2020.2
111110929,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,25,Branca,-,INATIVO,GRADUADO,2016.1
111150430,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,23,Preta,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
118210389,20182,SISU,2017,Solteiro,MASCULINO,23,Parda,-,ATIVO,REGULAR,-
119210277,20192,SISU,2017,Casado,FEMININO,34,Parda,L14,INATIVO,CANCELAMENTO POR ABANDONO,2020.2
113210137,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2014.2
112110929,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,25,Branca,-,INATIVO,GRADUADO,2017.2
113111451,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2021.1
112210658,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,26,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2012.2
121110615,20211,SISU,2017,Solteiro,FEMININO,22,Parda,L6,ATIVO,REGULAR,-
120110277,20201,SISU,2017,Solteiro,MASCULINO,21,Branca,-,ATIVO,REGULAR,-
111110066,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.2
118210186,20182,SISU,2017,Solteiro,FEMININO,19,Parda,L2,INATIVO,GRADUADO,2022.2
113112637,20131,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,18,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.1
111210658,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,17,Branca,-,INATIVO,GRADUADO,2017.1
113210097,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,26,Preta,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.1
113210153,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
111210399,20112,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,22,N? declarada,-,INATIVO,GRADUADO,2015.1
120110338,20201,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2024.1
111210447,20112,VESTIBULAR  ENEM,1999,Casado,MASCULINO,25,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2011.2
113210424,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Amarela,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.1
120110363,20201,SISU,2017,Solteiro,MASCULINO,22,Parda,-,ATIVO,REGULAR,-
114211029,20142,SISU,1999,Solteiro,MASCULINO,24,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2015.1
