CODE;MATRICULA;DISCIPLINA;CREDITO;HORAS;PERIODO;ID_CLASS;NOTA;SITUACAO;ESTADO
102210002;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2007.2;2;2.8;REPROVADO_POR_NOTA;NORMAL
102210002;1411190;REDES DE COMPUTADORES;4;60;2007.2;1;7;APROVADO;NORMAL
102210002;1411192;SISTEMAS OPERACIONAIS;4;60;2007.2;1;3.7;REPROVADO_POR_NOTA;NORMAL
102210002;1411201;EMPREENDEDORISMO;4;60;2007.2;1;7.7;APROVADO;NORMAL
102210002;1411221;SISTEMAS DE INFORMA??ES GEOGR?FICAS;4;60;2007.2;1;7.3;APROVADO;NORMAL
102210002;1411269;TECC(MINERA??O DE DADOS);2;30;2007.2;1;6.6;APROVADO;NORMAL
102210002;1411184;LAB.DE INTERCON.DE REDES DE COMPUTADORES;2;30;2008.1;1;7;APROVADO;NORMAL
102210002;1411186;PROJETO EM COMPUTA??O II;6;90;2008.1;1;8.3;APROVADO;NORMAL
102210002;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2008.1;1;3.2;REPROVADO_POR_NOTA;NORMAL
102210002;1411191;INTERCONEX?O DE REDES DE COMPUTADORES;2;30;2008.1;1;7;APROVADO;NORMAL
102210002;1411192;SISTEMAS OPERACIONAIS;4;60;2008.1;1;8.2;APROVADO;NORMAL
102210002;1411256;TEC(PRINCIPIOS DE ADMIN FINANCEIRA);4;60;2008.1;1;8.8;APROVADO;NORMAL
102210002;1411266;TECC(FUND E APLIC. DE REALIDADE VIRTUAL;4;60;2008.1;1;8.8;APROVADO;NORMAL
102210002;1305253;ENADE/CONCLUINTE;0;0;2008.2;;-1;APROVADO;NORMAL
102210002;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2008.2;1;5;APROVADO;NORMAL
102210002;1411189;COMPILADORES;4;60;2008.2;1;5.5;APROVADO;NORMAL
102210002;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;2008.2;1;5.5;APROVADO;NORMAL
102210002;1411268;TECC(MODELAGEM DE AMBIENTES VIRTUAIS);4;60;2008.2;1;7.2;APROVADO;NORMAL
102210002;1305219;DIREITO E CIDADANIA;4;60;2009.1;1;7;APROVADO;NORMAL
102210002;1411188;M?TODOS E SOFTWARE NUM?RICOS;4;60;2009.1;1;7;APROVADO;NORMAL
102210002;1411196;INTELIGENCIA ARTIFICIAL I;4;60;2009.1;1;6.1;APROVADO;NORMAL
102210003;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2002.2;5;-1;TRANCADO;NORMAL
102210003;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2002.2;2;2;REPROVADO_POR_NOTA;NORMAL
102210003;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2002.2;1;-1;TRANCADO;NORMAL
102210003;1411167;PROGRAMA??O I;4;60;2002.2;1;7.4;APROVADO;NORMAL
102210003;1411174;INTRODU??O ? COMPUTA??O;4;60;2002.2;1;7;APROVADO;NORMAL
102210003;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;2002.2;1;7.8;APROVADO;NORMAL
102210003;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2003.1;3;6.4;APROVADO;NORMAL
102210003;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2003.1;2;0;REPROVADO_POR_FALTA;NORMAL
102210003;1109113;MATEM?TICA DISCRETA;4;60;2003.1;1;0;REPROVADO_POR_FALTA;NORMAL
102210003;1305218;METODOLOGIA CIENT?FICA;4;60;2003.1;1;0;REPROVADO_POR_FALTA;NORMAL
102210003;1411168;PROGRAMA??O II;4;60;2003.1;1;8.3;APROVADO;NORMAL
102210003;1411170;TEORIA DOS GRAFOS;2;30;2003.1;1;6.1;APROVADO;NORMAL
102210003;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;2003.1;1;8.6;APROVADO;NORMAL
102210003;1109101;ALGEBRA LINEAR;4;60;2003.2;2;5.3;APROVADO;NORMAL
102210003;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2003.2;1;0;REPROVADO_POR_FALTA;NORMAL
102210003;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2003.2;1;5.4;APROVADO;NORMAL
102210003;1411176;GER?NCIA DA INFORMA??O;4;60;2003.2;1;9.2;APROVADO;NORMAL
102210003;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2003.2;1;7;APROVADO;NORMAL
102210003;1109050;CALCULO DIFERENCIAL E INTEGRAL I;6;90;2004.1;4;6.3;APROVADO;NORMAL
102210003;1109113;MATEM?TICA DISCRETA;4;60;2004.1;1;6.2;APROVADO;NORMAL
102210003;1303021;ECONOMIA;4;60;2004.1;1;8.7;APROVADO;NORMAL
102210003;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2004.1;1;7.6;APROVADO;NORMAL
102210003;1411178;SISTEMAS DE INFORMA??O I;4;60;2004.1;1;7.6;APROVADO;NORMAL
102210003;1411247;TECC(ALGORITMOS AVAN?ADOS II);2;30;2004.1;1;0;REPROVADO_POR_FALTA;NORMAL
102210003;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;2004.2;1;5.8;APROVADO;NORMAL
102210003;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;2004.2;3;7.2;APROVADO;NORMAL
102210003;1411171;TEORIA DA COMPUTA??O;4;60;2004.2;1;8.9;APROVADO;NORMAL
102210003;1411193;BANCO DE DADOS I;4;60;2004.2;1;7;APROVADO;NORMAL
102210003;1411195;SISTEMAS DE INFORMA??O II;4;60;2004.2;1;4.4;REPROVADO_POR_NOTA;NORMAL
102210004;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;2002.2;;5.1;APROVADO;DISPENSA
102210004;1108090;FUNDAMENTOS DE F?SICA MODERNA;4;60;2002.2;;9;APROVADO;DISPENSA
102210004;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2002.2;;7.1;APROVADO;DISPENSA
102210004;1109101;ALGEBRA LINEAR;4;60;2002.2;;5.6;APROVADO;DISPENSA
102210004;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2002.2;;7;APROVADO;DISPENSA
102210004;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;2002.2;;7.1;APROVADO;DISPENSA
102210004;1109113;MATEM?TICA DISCRETA;4;60;2002.2;;7.4;APROVADO;DISPENSA
102210004;1114107;PROBABILIDADE E ESTAT?STICA;4;60;2002.2;;7.5;APROVADO;DISPENSA
102210004;1114114;METODOS ESTATISTICOS;4;60;2002.2;;7;APROVADO;DISPENSA
102210004;1304117;GINASTICA MASC/FEM;2;30;2002.2;;9.5;APROVADO;DISPENSA
102210004;1305218;METODOLOGIA CIENT?FICA;4;60;2002.2;;8.3;APROVADO;DISPENSA
102210004;1305219;DIREITO E CIDADANIA;4;60;2002.2;1;7;APROVADO;NORMAL
102210004;1305220;INFORM?TICA E SOCIEDADE;2;30;2002.2;1;8.75;APROVADO;NORMAL
102210004;1307150;INGL?S;4;60;2002.2;;8.2;APROVADO;DISPENSA
102210004;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2002.2;;8.3;APROVADO;DISPENSA
102210004;1411167;PROGRAMA??O I;4;60;2002.2;;7.6;APROVADO;DISPENSA
102210004;1411168;PROGRAMA??O II;4;60;2002.2;;7.1;APROVADO;DISPENSA
102210004;1411169;PARADIGMAS DE LING. DE PROGRAMA??O;2;30;2002.2;1;8.5;APROVADO;NORMAL
102210004;1411170;TEORIA DOS GRAFOS;2;30;2002.2;;5.7;APROVADO;DISPENSA
102210004;1411171;TEORIA DA COMPUTA??O;4;60;2002.2;;7.1;APROVADO;DISPENSA
102210004;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2002.2;;5.4;APROVADO;DISPENSA
